px,py,nx,ny,minutes,seconds,millis,total_millis
1,1,1024,1024,0,14,20,14020
1,1,1024,1024,0,14,10,14010
1,1,1024,1024,0,13,69,13069
1,1,1024,1024,0,14,86,14086
1,1,1024,1024,0,17,54,17054
1,2,1024,512,0,14,05,14005
1,2,1024,512,0,14,17,14017
1,2,1024,512,0,14,62,14062
1,2,1024,512,0,14,71,14071
1,2,1024,512,0,15,12,15012
2,1,512,1024,0,11,18,11018
2,1,512,1024,0,11,46,11046
2,1,512,1024,0,10,47,10047
2,1,512,1024,0,11,63,11063
2,1,512,1024,0,11,00,11000
2,2,512,512,0,10,00,10000
2,2,512,512,0,09,63,9063
2,2,512,512,0,09,71,9071
2,2,512,512,0,09,78,9078
2,2,512,512,0,09,53,9053
4,1,256,1024,0,08,32,8032
4,1,256,1024,0,09,33,9033
4,1,256,1024,0,09,97,9097
4,1,256,1024,0,08,59,8059
4,1,256,1024,0,08,26,8026
1,4,1024,256,0,11,41,11041
1,4,1024,256,0,11,35,11035
1,4,1024,256,0,11,25,11025
1,4,1024,256,0,11,36,11036
1,4,1024,256,0,11,34,11034
1,1,2048,2048,0,56,85,56085
1,1,2048,2048,1,44,06,104006
1,1,2048,2048,1,15,28,75028
1,1,2048,2048,1,02,14,62014
1,1,2048,2048,0,57,45,57045
1,2,2048,1024,0,56,34,56034
1,2,2048,1024,0,56,01,56001
1,2,2048,1024,0,55,94,55094
1,2,2048,1024,0,58,86,58086
1,2,2048,1024,1,01,52,61052
2,1,1024,2048,0,44,07,44007
2,1,1024,2048,0,44,15,44015
2,1,1024,2048,0,42,83,42083
2,1,1024,2048,0,43,71,43071
2,1,1024,2048,0,44,97,44097
2,2,1024,1024,0,45,57,45057
2,2,1024,1024,1,07,83,67083
2,2,1024,1024,1,09,80,69080
2,2,1024,1024,1,09,91,69091
2,2,1024,1024,1,09,45,69045
4,1,512,2048,0,54,71,54071
4,1,512,2048,0,51,61,51061
4,1,512,2048,0,50,23,50023
4,1,512,2048,0,50,12,50012
4,1,512,2048,0,52,21,52021
1,4,2048,512,1,02,01,62001
1,4,2048,512,0,56,22,56022
1,4,2048,512,0,56,54,56054
1,4,2048,512,0,56,21,56021
1,4,2048,512,0,55,85,55085
1,1,4096,4096,4,12,48,252048
1,1,4096,4096,4,11,91,251091
1,1,4096,4096,4,04,91,244091
1,1,4096,4096,4,30,07,270007
1,1,4096,4096,4,19,45,259045
1,2,4096,2048,5,09,45,309045
1,2,4096,2048,4,17,02,257002
1,2,4096,2048,4,27,39,267039
1,2,4096,2048,4,23,22,263022
1,2,4096,2048,4,25,09,265009
2,1,2048,4096,3,00,84,180084
2,1,2048,4096,2,54,41,174041
2,1,2048,4096,2,58,90,178090
2,1,2048,4096,3,21,83,201083
2,1,2048,4096,3,16,96,196096
2,2,2048,2048,3,23,50,203050
2,2,2048,2048,3,41,79,221079
2,2,2048,2048,5,01,82,301082
2,2,2048,2048,4,42,71,282071
2,2,2048,2048,4,32,96,272096
4,1,1024,4096,3,44,29,224029
4,1,1024,4096,3,26,41,206041
4,1,1024,4096,2,27,40,147040
4,1,1024,4096,2,38,25,158025
4,1,1024,4096,2,34,90,154090
1,4,4096,1024,5,19,56,319056
1,4,4096,1024,6,57,66,417066
1,4,4096,1024,6,12,45,372045
1,4,4096,1024,5,23,92,323092
1,4,4096,1024,4,20,98,260098
