px,py,nx,ny,minutes,seconds,millis,total_millis
1,1,1024,1024,0,23,72,23072
1,1,1024,1024,0,22,03,22003
1,1,1024,1024,0,23,12,23012
1,1,1024,1024,0,24,56,24056
1,1,1024,1024,0,22,70,22070
1,2,1024,512,0,21,80,21080
1,2,1024,512,0,22,12,22012
1,2,1024,512,0,22,57,22057
1,2,1024,512,0,22,91,22091
1,2,1024,512,0,19,45,19045
2,1,512,1024,0,13,81,13081
2,1,512,1024,0,13,67,13067
2,1,512,1024,0,13,98,13098
2,1,512,1024,0,13,75,13075
2,1,512,1024,0,13,81,13081
2,2,512,512,0,13,95,13095
2,2,512,512,0,14,45,14045
2,2,512,512,0,14,14,14014
2,2,512,512,0,13,90,13090
2,2,512,512,0,13,77,13077
4,1,256,1024,0,11,64,11064
4,1,256,1024,0,11,54,11054
4,1,256,1024,0,11,50,11050
4,1,256,1024,0,11,51,11051
4,1,256,1024,0,11,48,11048
1,4,1024,256,0,18,81,18081
1,4,1024,256,0,19,08,19008
1,4,1024,256,0,18,65,18065
1,4,1024,256,0,18,54,18054
1,4,1024,256,0,18,91,18091
1,1,2048,2048,1,17,10,77010
1,1,2048,2048,1,17,86,77086
1,1,2048,2048,1,22,67,82067
1,1,2048,2048,1,27,56,87056
1,1,2048,2048,1,19,54,79054
1,2,2048,1024,1,07,19,67019
1,2,2048,1024,0,59,38,59038
1,2,2048,1024,1,09,99,69099
1,2,2048,1024,1,09,52,69052
1,2,2048,1024,1,07,75,67075
2,1,1024,2048,0,49,65,49065
2,1,1024,2048,0,49,31,49031
2,1,1024,2048,0,49,91,49091
2,1,1024,2048,0,50,45,50045
2,1,1024,2048,1,00,24,60024
2,2,1024,1024,0,59,79,59079
2,2,1024,1024,0,58,97,58097
2,2,1024,1024,1,01,20,61020
2,2,1024,1024,0,57,82,57082
2,2,1024,1024,1,01,92,61092
4,1,512,2048,0,44,38,44038
4,1,512,2048,0,37,63,37063
4,1,512,2048,0,39,81,39081
4,1,512,2048,0,40,38,40038
4,1,512,2048,0,38,50,38050
1,4,2048,512,1,07,87,67087
1,4,2048,512,0,58,75,58075
1,4,2048,512,0,57,99,57099
1,4,2048,512,0,57,97,57097
1,4,2048,512,1,05,73,65073
1,1,4096,4096,4,24,27,264027
1,1,4096,4096,4,20,82,260082
1,1,4096,4096,4,19,43,259043
1,1,4096,4096,4,22,85,262085
1,1,4096,4096,4,20,42,260042
1,2,4096,2048,4,17,32,257032
1,2,4096,2048,4,58,56,298056
1,2,4096,2048,4,39,66,279066
1,2,4096,2048,5,08,34,308034
1,2,4096,2048,5,40,95,340095
2,1,2048,4096,3,21,91,201091
2,1,2048,4096,3,12,69,192069
2,1,2048,4096,3,10,94,190094
2,1,2048,4096,3,06,61,186061
2,1,2048,4096,3,12,71,192071
2,2,2048,2048,3,20,05,200005
2,2,2048,2048,3,10,40,190040
2,2,2048,2048,3,16,34,196034
2,2,2048,2048,3,02,35,182035
2,2,2048,2048,3,23,50,203050
4,1,1024,4096,3,07,07,187007
4,1,1024,4096,3,26,84,206084
4,1,1024,4096,3,21,85,201085
4,1,1024,4096,3,16,25,196025
4,1,1024,4096,2,17,73,137073
1,4,4096,1024,4,26,05,266005
1,4,4096,1024,4,28,06,268006
1,4,4096,1024,4,25,08,265008
1,4,4096,1024,4,28,23,268023
1,4,4096,1024,4,27,90,267090
