px,py,nx,ny,minutes,seconds,millis,total_millis
1,1,1024,1024,0,23,06,23006
1,1,1024,1024,0,23,71,23071
1,1,1024,1024,0,21,42,21042
1,1,1024,1024,0,21,73,21073
1,1,1024,1024,0,21,53,21053
1,2,1024,512,0,13,34,13034
1,2,1024,512,0,13,16,13016
1,2,1024,512,0,13,33,13033
1,2,1024,512,0,13,17,13017
1,2,1024,512,0,12,83,12083
2,1,512,1024,0,12,64,12064
2,1,512,1024,0,12,44,12044
2,1,512,1024,0,12,69,12069
2,1,512,1024,0,12,45,12045
2,1,512,1024,0,12,66,12066
2,2,512,512,0,09,26,9026
2,2,512,512,0,09,19,9019
2,2,512,512,0,09,31,9031
2,2,512,512,0,09,06,9006
2,2,512,512,0,08,95,8095
4,1,256,1024,0,08,93,8093
4,1,256,1024,0,08,83,8083
4,1,256,1024,0,08,80,8080
4,1,256,1024,0,08,85,8085
4,1,256,1024,0,08,93,8093
1,4,1024,256,0,12,51,12051
1,4,1024,256,0,13,25,13025
1,4,1024,256,0,12,37,12037
1,4,1024,256,0,12,32,12032
1,4,1024,256,0,12,25,12025
1,1,2048,2048,1,23,33,83033
1,1,2048,2048,1,23,65,83065
1,1,2048,2048,1,22,19,82019
1,1,2048,2048,1,22,80,82080
1,1,2048,2048,1,22,78,82078
1,2,2048,1024,0,46,89,46089
1,2,2048,1024,0,46,90,46090
1,2,2048,1024,0,46,54,46054
1,2,2048,1024,0,46,65,46065
1,2,2048,1024,0,47,06,47006
2,1,1024,2048,0,47,76,47076
2,1,1024,2048,0,48,55,48055
2,1,1024,2048,0,48,35,48035
2,1,1024,2048,0,46,15,46015
2,1,1024,2048,0,42,39,42039
2,2,1024,1024,0,31,19,31019
2,2,1024,1024,0,31,06,31006
2,2,1024,1024,0,31,23,31023
2,2,1024,1024,0,31,26,31026
2,2,1024,1024,0,32,00,32000
4,1,512,2048,0,31,41,31041
4,1,512,2048,0,31,18,31018
4,1,512,2048,0,30,58,30058
4,1,512,2048,0,31,35,31035
4,1,512,2048,0,32,08,32008
1,4,2048,512,0,41,54,41054
1,4,2048,512,0,44,80,44080
1,4,2048,512,0,42,63,42063
1,4,2048,512,0,42,05,42005
1,4,2048,512,0,41,78,41078
1,1,4096,4096,5,01,47,301047
1,1,4096,4096,5,00,86,300086
1,1,4096,4096,5,02,47,302047
1,1,4096,4096,4,59,86,299086
1,1,4096,4096,4,59,10,299010
1,2,4096,2048,2,48,63,168063
1,2,4096,2048,2,48,13,168013
1,2,4096,2048,2,45,96,165096
1,2,4096,2048,2,45,95,165095
1,2,4096,2048,2,46,83,166083
2,1,2048,4096,2,46,48,166048
2,1,2048,4096,2,59,93,179093
2,1,2048,4096,2,56,23,176023
2,1,2048,4096,2,58,86,178086
2,1,2048,4096,2,45,61,165061
2,2,2048,2048,1,53,94,113094
2,2,2048,2048,1,52,14,112014
2,2,2048,2048,1,52,08,112008
2,2,2048,2048,1,52,27,112027
2,2,2048,2048,1,52,31,112031
4,1,1024,4096,1,51,71,111071
4,1,1024,4096,1,51,72,111072
4,1,1024,4096,1,51,75,111075
4,1,1024,4096,1,52,16,112016
4,1,1024,4096,1,50,45,110045
1,4,4096,1024,2,37,76,157076
1,4,4096,1024,3,17,82,197082
1,4,4096,1024,3,15,17,195017
1,4,4096,1024,3,10,53,190053
1,4,4096,1024,3,11,99,191099
